n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
204001,-,0.00750,0.00600,6.57422,6.42769,6.42468
205001,-,0.00750,0.00600,6.59272,6.61375,6.57374
206001,-,0.00750,0.00750,6.76974,6.76520,6.73068
207001,-,0.00700,0.00650,6.92429,6.90036,6.94025
208001,-,0.00750,0.00700,7.21328,7.09571,7.04477
209001,-,0.00800,0.00650,7.40910,7.30281,7.27770
210001,-,0.00650,0.00700,7.51699,7.55547,7.38186
211001,-,0.00701,0.00650,7.59389,7.57975,7.61341
212001,-,0.00650,0.00600,7.80936,7.77095,7.74633
213001,-,0.00701,0.00701,7.89237,7.95890,8.08102
214001,-,0.00700,0.00650,8.08642,8.09035,8.08995
215001,-,0.00700,0.00701,8.15464,8.16484,8.23482
216001,-,0.00750,0.00650,8.40994,8.46151,8.41038
217001,-,0.00800,0.00600,8.56045,8.55789,8.55692
218001,-,0.00750,0.00650,8.91802,8.77493,8.80891
219001,-,0.00750,0.00650,8.91916,8.97648,8.99994
220001,-,0.00700,0.00700,9.05650,9.01494,9.04893
221001,-,0.00750,0.00702,9.28794,9.23796,9.27060
222001,-,0.00751,0.00700,9.47475,9.42298,9.47097
223001,-,0.00700,0.00650,9.62206,9.71657,9.63162
224001,-,0.00750,0.00600,9.84763,9.84300,9.82254
225001,-,0.00850,0.00650,10.00407,10.05758,10.01907
226001,-,0.00750,0.00704,10.19455,10.21218,10.20412
227001,-,0.00701,0.00751,10.38452,10.35418,10.42168
228001,-,0.00700,0.00700,10.58213,10.54770,10.55609
229001,-,0.00700,0.00650,10.76115,10.84876,10.77113
230001,-,0.00750,0.00700,10.95015,10.99119,10.96219
231001,-,0.00750,0.00700,11.13849,11.11873,11.11731
232001,-,0.00750,0.00750,11.31179,11.31281,11.32134
233001,-,0.00750,0.00650,11.75332,11.48078,11.44220
234001,-,0.00753,0.00700,11.79171,11.99180,11.72885
235001,-,0.00702,0.00648,11.84870,11.81828,11.86685
236001,-,0.00750,0.00700,12.12283,12.11388,12.08427
237001,-,0.00751,0.00651,12.30938,12.27030,12.24639
238001,-,0.00750,0.00750,12.56543,12.44534,12.51689
239001,-,0.00800,0.00702,12.67083,12.66341,12.69294
240001,-,0.00751,0.00699,12.83144,12.88803,12.82986
241001,-,0.00750,0.00650,13.03916,13.00541,13.03145
242001,-,0.00700,0.00700,13.29656,13.36686,13.37745
243001,-,0.00750,0.00700,13.49197,13.55854,13.51159
244001,-,0.00751,0.00700,13.64200,13.66404,13.67599
245001,-,0.00750,0.00750,13.85604,13.90606,13.88178
246001,-,0.00750,0.00650,14.24133,14.13758,14.28316
247001,-,0.00801,0.00800,14.54111,14.48828,14.63346
248001,-,0.00700,0.00700,14.74895,14.50206,14.68782
249001,-,0.00800,0.00700,14.88275,14.85877,14.92027
250001,-,0.00701,0.00700,15.19789,15.10572,15.38174
251001,-,0.00750,0.00650,15.25047,15.64163,15.37423
252001,-,0.00700,0.00700,15.58045,15.41372,15.53779
253001,-,0.00701,0.00650,15.60324,15.76545,15.63535
254001,-,0.00750,0.00700,16.05303,16.07562,15.97809
255001,-,0.00650,0.00650,16.15952,16.15671,16.03026
256001,-,0.00700,0.00651,16.17230,16.12438,16.17431
257001,-,0.00752,0.00798,16.38770,16.75077,16.38920
258001,-,0.00701,0.00700,16.61445,16.67472,16.68924
259001,-,0.00750,0.00700,16.82966,16.86685,16.83974
260001,-,0.00700,0.00700,17.01981,17.34203,17.25616
261001,-,0.00750,0.00650,17.57454,17.57286,17.65963
262001,-,0.00750,0.00700,17.89786,17.88994,18.19160
263001,-,0.00700,0.00650,18.07786,17.95856,17.89697
264001,-,0.00751,0.00650,18.32542,18.33513,18.35552
265001,-,0.00701,0.00701,18.87200,18.92139,18.46573
266001,-,0.00700,0.00650,18.49496,18.71966,19.01986
267001,-,0.00700,0.00600,18.95877,19.00543,19.10848
268001,-,0.00750,0.00650,19.24750,19.20767,19.11761
269001,-,0.00701,0.00700,19.36864,19.24709,19.22471
270001,-,0.00750,0.00650,19.54779,19.49212,19.50869
271001,-,0.00700,0.00651,19.77463,19.77970,19.83375
272001,-,0.00700,0.00700,20.18468,20.10636,19.99963
273001,-,0.00751,0.00700,20.22277,20.29879,20.12819
274001,-,0.00750,0.00650,20.43280,20.57332,20.53417
275001,-,0.00700,0.00700,21.02743,21.08700,21.20260
276001,-,0.00650,0.00650,21.43204,21.37063,21.63165
277001,-,0.00900,0.00850,22.10223,21.59191,21.17257
278001,-,0.00700,0.00700,21.70461,21.76590,21.63731
279001,-,0.00800,0.00650,21.79616,21.80009,22.04350
280001,-,0.00651,0.00700,22.07077,21.98049,21.98544
281001,-,0.00750,0.00600,22.35497,22.47265,23.13469
282001,-,0.00651,0.00651,22.90809,22.76840,22.79468
283001,-,0.00700,0.00700,23.03553,23.54004,23.35180
284001,-,0.00750,0.00600,23.15660,23.39445,23.94262
285001,-,0.00651,0.00600,23.50122,23.45208,23.59156
286001,-,0.00700,0.00700,23.83285,24.41461,23.89143
287001,-,0.00700,0.00651,23.68908,24.09358,24.11399
288001,-,0.00700,0.00751,24.46986,24.44576,24.53596
289001,-,0.00749,0.00750,24.33425,24.16758,24.53480
290001,-,0.00750,0.00701,24.86323,24.78760,24.72060
291001,-,0.00650,0.00700,24.87537,24.99288,25.11298
292001,-,0.00800,0.00650,25.18316,25.45011,25.26051
293001,-,0.00650,0.00650,26.27332,25.67047,26.19523
294001,-,0.00801,0.00651,26.41307,25.87983,25.88884
295001,-,0.00700,0.00750,26.00050,25.94757,25.97869
296001,-,0.00700,0.00650,26.70839,26.66072,26.61643
297001,-,0.00701,0.00650,26.64470,27.33975,26.40039
298001,-,0.00750,0.00701,26.85710,27.03485,26.97783
299001,-,0.00750,0.00650,27.24451,27.92219,27.92810
300001,-,0.00800,0.00700,27.39095,27.57848,27.61232
301001,-,0.00700,0.00701,28.50712,27.69149,27.95957
302001,-,0.00651,0.00649,28.30846,28.23979,28.46101
303001,-,0.00699,0.00700,28.40298,28.46543,28.31664
304001,-,0.00800,0.00700,28.70055,28.76277,28.55447
305001,-,0.00750,0.00650,28.79582,28.91886,28.85114
306001,-,0.00650,0.00650,29.72647,29.27072,29.16922
307001,-,0.00750,0.00651,29.38688,29.33750,29.21510
308001,-,0.00700,0.00600,29.83396,29.63886,29.96906
309001,-,0.00752,0.00698,30.21803,30.21267,30.10525
310001,-,0.00801,0.00650,30.57410,30.03870,30.03024
311001,-,0.00700,0.00700,30.49900,30.66751,30.62644
312001,-,0.00800,0.00650,30.77472,30.83408,30.56833
313001,-,0.00750,0.00650,31.07097,31.03645,31.10848
314001,-,0.00750,0.00650,31.63224,31.39156,31.23180
315001,-,0.00750,0.00700,31.81766,31.40775,31.71503
316001,-,0.00750,0.00650,31.84051,31.83346,32.09719
317001,-,0.00701,0.00699,32.53144,32.68839,32.37353
318001,-,0.00700,0.00700,32.49839,32.76632,32.78060
319001,-,0.00700,0.00650,32.99272,33.19057,33.02986
320001,-,0.00700,0.00750,33.35518,33.67494,33.52638
321001,-,0.00700,0.00700,33.78844,33.62534,33.59283
322001,-,0.00750,0.00701,34.26838,34.14043,34.00868
323001,-,0.00650,0.00650,34.54508,36.79456,34.57506
324001,-,0.00650,0.00700,34.47495,34.53679,34.86440
325001,-,0.00700,0.00700,35.04437,34.91725,36.14560
326001,-,0.00650,0.00700,35.31997,35.29205,35.84126
327001,-,0.00700,0.00700,35.27596,35.54812,35.62050
328001,-,0.00750,0.00700,36.28831,36.07425,36.06278
329001,-,0.00700,0.00650,36.20437,36.46334,36.55988
330001,-,0.00750,0.00701,37.39741,36.78379,36.75547
331001,-,0.00750,0.00700,37.09316,37.26465,37.78130
332001,-,0.00800,0.00750,37.63144,35.87398,36.27083
333001,-,0.00900,0.00650,37.29161,36.67951,36.91644
334001,-,0.00800,0.01000,38.09525,36.37263,36.11232
335001,-,0.00750,0.00701,36.56546,40.50080,36.62362
336001,-,0.00701,0.00650,36.84653,37.77683,36.45318
337001,-,0.00800,0.00650,37.15425,38.69854,40.11239
338001,-,0.00800,0.00700,39.15172,38.63583,37.23947
339001,-,0.00700,0.00650,39.56481,39.47603,40.08457
340001,-,0.00700,0.00751,37.93686,39.67477,38.74484
341001,-,0.00750,0.00800,38.76422,38.66706,39.13842
342001,-,0.00700,0.00650,38.45329,38.68270,38.07990
343001,-,0.00750,0.00700,38.87591,38.77923,39.31440
344001,-,0.00650,0.00651,40.86971,39.30279,42.02387
345001,-,0.00751,0.00650,39.86047,41.73450,43.74009
346001,-,0.00700,0.00650,42.31300,41.58451,43.18651
347001,-,0.00701,0.00701,42.18174,40.66062,44.12127
348001,-,0.00651,0.00650,46.74866,42.69567,42.19499
349001,-,0.00951,0.00800,43.15944,41.74155,44.46673
350001,-,0.00853,0.00701,45.19082,43.39812,43.46038
351001,-,0.00701,0.00650,44.61132,44.65954,42.94954
352001,-,0.00750,0.00701,46.01783,46.07234,48.65159
353001,-,0.00901,0.00700,46.01158,43.68368,44.71756
354001,-,0.00950,0.00750,45.56491,44.64000,43.51297
355001,-,0.00800,0.00700,45.52295,43.49757,46.44331
356001,-,0.00750,0.00652,44.36760,45.38965,43.23254
357001,-,0.00800,0.00850,45.76193,46.55298,44.82898
358001,-,0.00700,0.00650,45.88104,44.34003,46.01172
359001,-,0.00700,0.00650,44.76677,45.36852,44.64571
360001,-,0.00750,0.00750,47.44597,44.75149,52.24493
361001,-,0.00700,0.00650,47.29417,47.41001,46.83537
