n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
177,-,0.00550,0.00500,0.04851,0.04901,0.04851
178,-,0.00600,0.00550,0.04901,0.04850,0.04902
179,-,0.00550,0.00550,0.04850,0.05101,0.04850
180,-,0.00600,0.00550,0.04901,0.04900,0.04851
181,-,0.00600,0.00550,0.04850,0.04851,0.04800
182,-,0.00550,0.00550,0.04901,0.04850,0.04901
183,-,0.00600,0.00500,0.04850,0.04901,0.04800
184,-,0.00600,0.00601,0.04850,0.04801,0.04901
185,-,0.00600,0.00550,0.04954,0.05150,0.05101
186,-,0.00550,0.00550,0.04850,0.04851,0.05000
187,-,0.00550,0.00552,0.04899,0.04850,0.04851
188,-,0.00600,0.00500,0.04850,0.04901,0.04900
189,-,0.00551,0.00550,0.04851,0.04900,0.04851
190,-,0.00500,0.00550,0.04901,0.04850,0.04850
191,-,0.00601,0.00500,0.04800,0.04803,0.04900
192,-,0.00550,0.00500,0.04901,0.04850,0.04851
193,-,0.00600,0.00550,0.04950,0.04901,0.04850
194,-,0.00600,0.00500,0.04851,0.04850,0.04801
195,-,0.00600,0.00550,0.04850,0.05001,0.04800
196,-,0.00650,0.00550,0.04851,0.04901,0.04851
197,-,0.00550,0.00550,0.04851,0.04850,0.04950
198,-,0.00551,0.00567,0.04951,0.04901,0.04900
199,-,0.00550,0.00600,0.04801,0.04950,0.04902
200,-,0.00550,0.00550,0.04850,0.04901,0.04900
201,-,0.00550,0.00550,0.04852,0.04850,0.04851
202,-,0.00600,0.00550,0.04850,0.04851,0.04851
203,-,0.00600,0.00600,0.04901,0.04900,0.04851
204,-,0.00600,0.00500,0.04901,0.04800,0.04951
205,-,0.00550,0.00550,0.05050,0.05152,0.05300
206,-,0.00600,0.00650,0.04951,0.04850,0.04901
207,-,0.00550,0.00550,0.04900,0.04801,0.04900
208,-,0.00550,0.00600,0.04951,0.04900,0.04903
209,-,0.00550,0.00551,0.04850,0.04850,0.04819
210,-,0.00550,0.00500,0.04800,0.04901,0.04850
211,-,0.00550,0.00500,0.04851,0.04800,0.04901
212,-,0.00550,0.00500,0.04950,0.04951,0.04850
213,-,0.00600,0.00550,0.04801,0.04900,0.04851
214,-,0.00550,0.00600,0.04850,0.04901,0.04750
215,-,0.00550,0.00600,0.04904,0.04900,0.04801
216,-,0.00600,0.00550,0.04851,0.04850,0.04801
217,-,0.00652,0.00500,0.04900,0.05001,0.04800
218,-,0.00550,0.00550,0.04801,0.04900,0.04952
219,-,0.00550,0.00550,0.04900,0.04901,0.04850
220,-,0.00550,0.00550,0.04902,0.04900,0.04951
221,-,0.00550,0.00600,0.04901,0.04951,0.04854
222,-,0.00550,0.00551,0.04900,0.04901,0.04951
223,-,0.00550,0.00550,0.04901,0.04900,0.04951
224,-,0.00650,0.00600,0.05000,0.05151,0.04900
225,-,0.00600,0.00600,0.04901,0.04850,0.04801
226,-,0.00650,0.00550,0.04800,0.04851,0.04900
227,-,0.00550,0.00550,0.04850,0.04950,0.04901
228,-,0.00550,0.00500,0.04851,0.04800,0.04850
229,-,0.00551,0.00500,0.04900,0.04901,0.04900
230,-,0.00550,0.00500,0.04851,0.04950,0.04801
231,-,0.00550,0.00550,0.04900,0.05001,0.04850
232,-,0.00550,0.00550,0.04851,0.04850,0.05001
233,-,0.00550,0.00550,0.04851,0.04900,0.04901
234,-,0.00550,0.00550,0.04851,0.04850,0.04851
235,-,0.00550,0.00550,0.04888,0.04850,0.04901
236,-,0.00550,0.00550,0.04800,0.04851,0.05000
237,-,0.00550,0.00550,0.05052,0.05149,0.05201
238,-,0.00550,0.00550,0.04850,0.04951,0.04850
239,-,0.00551,0.00550,0.04801,0.04850,0.04851
240,-,0.00550,0.00550,0.04950,0.04851,0.04900
241,-,0.00551,0.00550,0.04850,0.04901,0.04850
242,-,0.00550,0.00550,0.04801,0.05100,0.04902
243,-,0.00549,0.00550,0.04950,0.05051,0.04900
244,-,0.00500,0.00550,0.04952,0.04850,0.04901
245,-,0.00550,0.00500,0.04900,0.04901,0.04800
246,-,0.00550,0.00550,0.04901,0.04900,0.04901
247,-,0.00650,0.00500,0.04851,0.04750,0.04901
248,-,0.00600,0.00550,0.04900,0.04903,0.04900
249,-,0.00600,0.00550,0.04851,0.04950,0.04903
250,-,0.00550,0.00600,0.04900,0.04968,0.04850
251,-,0.00550,0.00550,0.04851,0.04800,0.04801
252,-,0.00600,0.00500,0.04850,0.04851,0.04850
253,-,0.00600,0.00550,0.04850,0.04900,0.04901
254,-,0.00550,0.00550,0.04801,0.04850,0.04901
255,-,0.00550,0.00600,0.04900,0.04901,0.04900
256,-,0.00550,0.00550,0.04801,0.04850,0.04901
257,-,0.00550,0.00550,0.04950,0.04901,0.04800
258,-,0.00600,0.00550,0.04851,0.04850,0.04851
259,-,0.00550,0.00602,0.04748,0.04901,0.04900
260,-,0.00550,0.00551,0.04850,0.04900,0.04952
